Rank,Symbol,Company Name,Sector,Current Price,Total Score,Recommendation,Sentiment Score,Trend Score,Fundamental Score,News Sentiment,Sentiment Summary,Positive News,Negative News,Neutral News,Technical Trend,Trend Confidence,Technical Summary,RSI,MACD,1M Change %,3M Change %,1Y Change %,Volatility,Pe Ratio,Pe Ratio Rating,Pe Ratio Analysis,Pb Ratio,Pb Ratio Rating,Pb Ratio Analysis,Debt To Equity,Debt To Equity Rating,Debt To Equity Analysis,Roe,Roe Rating,Roe Analysis,Profit Margin,Profit Margin Rating,Profit Margin Analysis,Revenue Growth,Revenue Growth Rating,Revenue Growth Analysis,Dividend Yield,Dividend Yield Rating,Dividend Yield Analysis,Overall Summary
1,KOTAKBANK.NS,Kotak Mahindra Bank Ltd,Energy,3870.07,0.709,Buy,0.633,0.778,0.713,Positive,"Overall positive sentiment (score: 0.27). 3 positive, 1 negative, 6 neutral articles. Recent news suggests favorable outlook.",3,1,6,Bullish,0.556,"Technical outlook is bullish (score: 0.78). RSI at 67, momentum +4.6%, 1Y return +25.5%. Favorable for long-term entry.",67.05945011403588,5.994183521201421,2.0003338343309807,-11.860643462440546,25.45122695959785,0.33632491054805724,17.11,Good,P/E of 17.1 is reasonable. Fair valuation for a quality company.,7.89,Bad,P/B of 7.89 is elevated. Heavy premium over book value.,74.72,Neutral,D/E of 74.7% is moderate. Monitor debt levels during downturns.,27.48,Excellent,ROE of 27.5% is outstanding. Excellent capital efficiency.,10.61,Neutral,Margin of 10.6% is moderate. Competitive but not exceptional.,22.2,Excellent,Growth of 22.2% is strong. Company expanding rapidly.,3.07,Excellent,Yield of 3.07% is attractive for income investors.,"KOTAKBANK.NS is rated 'Buy' (Score: 0.71/1.00). Strengths: Pe Ratio, Roe, Revenue Growth. Concerns: Pb Ratio."
2,HINDUNILVR.NS,Hindustan Unilever Ltd,Financial Services,1726.77,0.7,Buy,0.65,0.9,0.625,Positive,"Overall positive sentiment (score: 0.30). 3 positive, 0 negative, 7 neutral articles. Recent news suggests favorable outlook.",3,0,7,Bullish,0.8,"Technical outlook is bullish (score: 0.90). RSI at 70, momentum +13.8%, 1Y return +15.8%. Favorable for long-term entry.",70.38745315698495,140.95649309592773,13.41426219398727,25.431997452877518,15.84596592741272,0.29490775356018945,39.23,Bad,P/E of 39.2 is high. Stock might be overvalued or has high growth expectations.,6.97,Bad,P/B of 6.97 is elevated. Heavy premium over book value.,118.67,Bad,D/E of 118.7% is high. Significant debt burden may impact profitability.,27.23,Excellent,ROE of 27.2% is outstanding. Excellent capital efficiency.,20.03,Excellent,Margin of 20.0% is excellent. Strong pricing power and efficiency.,16.45,Good,Growth of 16.4% is healthy. Solid business momentum.,3.18,Excellent,Yield of 3.18% is attractive for income investors.,"HINDUNILVR.NS is rated 'Buy' (Score: 0.62/1.00). Strengths: Roe, Profit Margin, Revenue Growth. Concerns: Pe Ratio, Pb Ratio, Debt To Equity."
3,ICICIBANK.NS,ICICI Bank Ltd,Healthcare,1603.03,0.673,Buy,0.683,0.909,0.55,Positive,"Overall positive sentiment (score: 0.37). 4 positive, 1 negative, 5 neutral articles. Recent news suggests favorable outlook.",4,1,5,Bullish,0.818,"Technical outlook is bullish (score: 0.91). RSI at 77, momentum +10.1%, 1Y return +123.3%. Favorable for long-term entry.",77.08130247399095,131.9493679474599,19.585390915849587,36.097135101506026,123.25021896093311,0.31820265708960105,19.99,Good,P/E of 20.0 is reasonable. Fair valuation for a quality company.,2.2,Good,P/B of 2.20 is reasonable for a profitable company.,128.78,Bad,D/E of 128.8% is high. Significant debt burden may impact profitability.,30.39,Excellent,ROE of 30.4% is outstanding. Excellent capital efficiency.,9.99,Neutral,Margin of 10.0% is moderate. Competitive but not exceptional.,-0.72,Very Bad,Growth of -0.7% indicates decline. Business may be shrinking.,2.48,Good,Yield of 2.48% provides decent passive income.,"ICICIBANK.NS is rated 'Hold' (Score: 0.55/1.00). Strengths: Pe Ratio, Pb Ratio, Roe. Concerns: Debt To Equity, Revenue Growth."
4,RELIANCE.NS,Reliance Industries Ltd,Financial Services,1967.24,0.619,Buy,0.584,0.667,0.613,Positive,"Overall positive sentiment (score: 0.17). 3 positive, 2 negative, 5 neutral articles. Recent news suggests favorable outlook.",3,2,5,Bullish,0.333,"Technical outlook is bullish (score: 0.67). RSI at 61, momentum +1.0%, 1Y return -8.2%. Favorable for long-term entry.",61.39425039173089,22.06490548440115,-0.3094882272593358,11.96636318173121,-8.227738437703403,0.32277681587531154,32.9,Neutral,P/E of 32.9 is moderate. Market expects decent growth.,6.93,Bad,P/B of 6.93 is elevated. Heavy premium over book value.,94.77,Neutral,D/E of 94.8% is moderate. Monitor debt levels during downturns.,32.2,Excellent,ROE of 32.2% is outstanding. Excellent capital efficiency.,6.1,Bad,Margin of 6.1% is thin. Limited buffer for cost increases.,25.71,Excellent,Growth of 25.7% is strong. Company expanding rapidly.,0.95,Neutral,Yield of 0.95% is modest. Growth focus over dividends.,"RELIANCE.NS is rated 'Buy' (Score: 0.61/1.00). Strengths: Roe, Revenue Growth. Concerns: Pb Ratio, Profit Margin."
5,HDFCBANK.NS,HDFC Bank Ltd,Financial Services,3035.51,0.606,Buy,0.55,0.625,0.625,Neutral,"Mixed/neutral sentiment (score: 0.10). 2 positive, 1 negative, 7 neutral articles. No clear directional bias in recent news.",2,1,7,Neutral,0.25,"Technical outlook is neutral (score: 0.62). RSI at 59, momentum +1.2%, 1Y return +11.4%. Mixed signals, monitor closely.",58.55548562263158,-19.472415839267796,2.141086780940271,-17.71683499912132,11.412892040205659,0.3321664965630661,12.48,Excellent,P/E of 12.5 is very attractive. Stock may be undervalued relative to earnings.,1.76,Good,P/B of 1.76 is reasonable for a profitable company.,60.14,Good,D/E of 60.1% is manageable. Company has healthy leverage.,19.08,Good,ROE of 19.1% is solid. Good returns on shareholder equity.,7.5,Neutral,Margin of 7.5% is moderate. Competitive but not exceptional.,-0.92,Very Bad,Growth of -0.9% indicates decline. Business may be shrinking.,1.49,Neutral,Yield of 1.49% is modest. Growth focus over dividends.,"HDFCBANK.NS is rated 'Buy' (Score: 0.62/1.00). Strengths: Pe Ratio, Pb Ratio, Debt To Equity. Concerns: Revenue Growth."
6,SBIN.NS,State Bank of India,Energy,2373.54,0.588,Hold,0.55,0.4,0.7,Neutral,"Mixed/neutral sentiment (score: 0.10). 2 positive, 1 negative, 7 neutral articles. No clear directional bias in recent news.",2,1,7,Neutral,0.2,"Technical outlook is neutral (score: 0.40). RSI at 51, momentum +0.6%, 1Y return -41.7%. Mixed signals, monitor closely.",51.02206435817281,15.80997249843108,15.60846357831942,27.995842271197624,-41.70363070318168,0.34366804662999506,30.94,Neutral,P/E of 30.9 is moderate. Market expects decent growth.,1.8,Good,P/B of 1.80 is reasonable for a profitable company.,8.99,Excellent,"D/E of 9.0% is very low. Strong balance sheet, minimal financial risk.",29.79,Excellent,ROE of 29.8% is outstanding. Excellent capital efficiency.,11.27,Neutral,Margin of 11.3% is moderate. Competitive but not exceptional.,0.57,Bad,Growth of 0.6% is slow. Limited expansion.,1.51,Good,Yield of 1.51% provides decent passive income.,"SBIN.NS is rated 'Buy' (Score: 0.70/1.00). Strengths: Pb Ratio, Debt To Equity, Roe. Concerns: Revenue Growth."
7,INFY.NS,Infosys Ltd,Technology,1007.54,0.523,Hold,0.7,0.167,0.612,Positive,"Overall positive sentiment (score: 0.40). 5 positive, 1 negative, 4 neutral articles. Recent news suggests favorable outlook.",5,1,4,Bearish,0.667,"Technical outlook is bearish (score: 0.17). RSI at 16, momentum -8.2%, 1Y return -35.2%. Consider waiting for better entry.",16.4339572547851,-19.3270077710323,-5.957304570795419,-16.730211002808883,-35.2005592385894,0.30984801190131567,24.06,Good,P/E of 24.1 is reasonable. Fair valuation for a quality company.,1.24,Excellent,P/B of 1.24 suggests stock trades near book value. Potential value buy.,130.71,Bad,D/E of 130.7% is high. Significant debt burden may impact profitability.,28.54,Excellent,ROE of 28.5% is outstanding. Excellent capital efficiency.,16.14,Good,Margin of 16.1% is healthy. Good profitability.,-2.32,Very Bad,Growth of -2.3% indicates decline. Business may be shrinking.,1.54,Good,Yield of 1.54% provides decent passive income.,"INFY.NS is rated 'Buy' (Score: 0.61/1.00). Strengths: Pe Ratio, Pb Ratio, Roe. Concerns: Debt To Equity, Revenue Growth."
8,TCS.NS,Tata Consultancy Services Ltd,Basic Materials,2815.94,0.468,Hold,0.55,0.222,0.55,Neutral,"Mixed/neutral sentiment (score: 0.10). 2 positive, 1 negative, 7 neutral articles. No clear directional bias in recent news.",2,1,7,Bearish,0.556,"Technical outlook is bearish (score: 0.22). RSI at 43, momentum -1.3%, 1Y return -19.2%. Consider waiting for better entry.",42.83920689777206,-68.95493477200216,-3.2254443606744676,-4.046038735103563,-19.2186912852097,0.3112468085056757,37.05,Bad,P/E of 37.0 is high. Stock might be overvalued or has high growth expectations.,2.31,Good,P/B of 2.31 is reasonable for a profitable company.,16.29,Excellent,"D/E of 16.3% is very low. Strong balance sheet, minimal financial risk.",15.21,Neutral,ROE of 15.2% is average. Acceptable but room for improvement.,14.4,Good,Margin of 14.4% is healthy. Good profitability.,-2.78,Very Bad,Growth of -2.8% indicates decline. Business may be shrinking.,1.08,Neutral,Yield of 1.08% is modest. Growth focus over dividends.,"TCS.NS is rated 'Hold' (Score: 0.55/1.00). Strengths: Pb Ratio, Debt To Equity, Profit Margin. Concerns: Pe Ratio, Revenue Growth."
9,BHARTIARTL.NS,Bharti Airtel Ltd,Consumer Defensive,1707.34,0.465,Hold,0.584,0.2,0.537,Positive,"Overall positive sentiment (score: 0.17). 3 positive, 2 negative, 5 neutral articles. Recent news suggests favorable outlook.",3,2,5,Bearish,0.6,"Technical outlook is bearish (score: 0.20). RSI at 50, momentum -7.3%, 1Y return -17.7%. Consider waiting for better entry.",49.52959636052554,-20.846497925290805,-4.284658115016704,-12.932157849194736,-17.702210651425567,0.3111809356724268,27.66,Neutral,P/E of 27.7 is moderate. Market expects decent growth.,5.92,Bad,P/B of 5.92 is elevated. Heavy premium over book value.,39.63,Good,D/E of 39.6% is manageable. Company has healthy leverage.,9.69,Bad,ROE of 9.7% is below average. Inefficient use of capital.,10.7,Neutral,Margin of 10.7% is moderate. Competitive but not exceptional.,12.99,Good,Growth of 13.0% is healthy. Solid business momentum.,3.83,Excellent,Yield of 3.83% is attractive for income investors.,"BHARTIARTL.NS is rated 'Hold' (Score: 0.54/1.00). Strengths: Debt To Equity, Revenue Growth, Dividend Yield. Concerns: Pb Ratio, Roe."
10,ITC.NS,ITC Ltd,Energy,3539.06,0.396,Weak,0.584,0.0,0.5,Positive,"Overall positive sentiment (score: 0.17). 3 positive, 2 negative, 5 neutral articles. Recent news suggests favorable outlook.",3,2,5,Bearish,1.0,"Technical outlook is bearish (score: 0.00). RSI at 42, momentum -2.2%, 1Y return -17.8%. Consider waiting for better entry.",41.504263784977326,-9.684267942152474,-3.6257800172662447,-12.48488030070829,-17.828663818360614,0.319855982467986,37.2,Bad,P/E of 37.2 is high. Stock might be overvalued or has high growth expectations.,2.85,Good,P/B of 2.85 is reasonable for a profitable company.,70.51,Neutral,D/E of 70.5% is moderate. Monitor debt levels during downturns.,7.91,Bad,ROE of 7.9% is below average. Inefficient use of capital.,14.13,Good,Margin of 14.1% is healthy. Good profitability.,9.12,Neutral,Growth of 9.1% is modest. Stable but not exciting.,3.27,Excellent,Yield of 3.27% is attractive for income investors.,"ITC.NS is rated 'Hold' (Score: 0.50/1.00). Strengths: Pb Ratio, Profit Margin, Dividend Yield. Concerns: Pe Ratio, Roe."
