symbol,name,sector,current_price,market_cap,sentiment_score,time_series_score,fundamental_score,total_score,recommendation,pe_ratio,pb_ratio,debt_to_equity,roe,profit_margin,revenue_growth,dividend_yield
BAJAJ-AUTO.NS,BAJAJ AUTO LIMITED,Consumer Cyclical,9101.0,2541202178048,0.8,1.0,0.675,0.788,Strong Buy,30.517738,7.4367695,57.257,25.572001999999998,14.902000000000001,19.5,231.99999999999997
COALINDIA.NS,COAL INDIA LTD,Energy,400.75,2470946013184,0.45,0.889,0.887,0.778,Strong Buy,7.919218,2.3436816,12.976,30.575999999999997,23.913,18.5,659.0
HINDALCO.NS,HINDALCO  INDUSTRIES  LTD,Basic Materials,871.0,1946796163072,0.75,0.9,0.688,0.756,Strong Buy,10.905221,1.433733,57.571,14.206,7.005,13.5,56.99999999999999
EICHERMOT.NS,EICHER MOTORS LTD,Consumer Cyclical,7298.5,2001972887552,0.6,1.0,0.688,0.744,Buy,39.232918,9.063578,2.018,24.874,23.989001,44.800000000000004,96.0
INFY.NS,INFOSYS LIMITED,Technology,1643.7,6649714049024,0.65,0.889,0.688,0.729,Buy,23.242363,6.5191703,8.437,29.026000000000003,16.584998000000002,3.6999999999999997,272.0
WIPRO.NS,WIPRO LTD,Technology,265.71,2783396757504,0.75,0.889,0.612,0.716,Buy,20.661741,3.2327569,18.738,16.108998999999997,15.057998999999999,1.7999999999999998,413.0
BPCL.NS,BHARAT PETROLEUM CORP  LT,Energy,368.0,1596570075136,0.6,1.0,0.6,0.7,Buy,7.408899,1.67396,56.386,24.822001,4.804,2.1,409.99999999999994
MARUTI.NS,MARUTI SUZUKI INDIA LTD.,Consumer Cyclical,16550.0,5203362316288,0.666,1.0,0.55,0.692,Buy,35.237507,5.216703,0.1,15.65,9.200999999999999,13.100000000000001,81.0
SBIN.NS,STATE BANK OF INDIA,Financial Services,963.3,8891854225408,0.6,0.778,0.687,0.688,Buy,10.718816,1.561859,,15.675999,22.619,8.1,165.0
NESTLEIND.NS,NESTLE INDIA LIMITED,Consumer Defensive,1276.3,2461107748864,0.6,0.875,0.625,0.681,Buy,83.58219,55.500957,10.753,70.792,14.072999999999999,10.6,157.0
SHRIRAMFIN.NS,SHRIRAM FINANCE LIMITED,Financial Services,952.95,1792843972608,0.7,0.909,0.55,0.677,Buy,18.210396,2.9584615,279.083,17.323999,52.085,11.3,153.0
TATACONSUM.NS,TATA CONSUMER PRODUCT LTD,Consumer Defensive,1181.9,1169544445952,0.734,1.0,0.463,0.665,Buy,85.8939,5.753494,11.869,6.484000400000001,7.248,17.8,70.0
TATASTEEL.NS,TATA STEEL LIMITED,Basic Materials,173.49,2163741032448,0.8,1.0,0.412,0.656,Buy,31.833029,2.2761445,99.699,7.1729995,3.0700000000000003,8.9,213.0
CIPLA.NS,CIPLA LTD,Healthcare,1499.0,1210890321920,0.63,0.667,0.65,0.649,Buy,22.266785,3.6782477,1.415,17.676,19.455999,7.000000000000001,86.0
